#: table_doi: 10.17182/hepdata.64354.v1/t3
#: name: Table 3
#: description: The measured normalized combined (electron and muon channels) cross section (1/SIG(FID))*D(SIG(FID))/DPT(Z) for 0 <= ABS(YRAP(Z)) < 1, 1 <= ABS(YRAP(Z)) < 2 and 2 <= ABS(YRAP(Z)) < 2.4. The cross sections at Born and dressed levels are given as well as the relative statistical and systematic uncertainties for uncorrelated and correlated sources.

#: data_file: Table3.yaml
#: keyword reactions: P P --> Z0 X | P P --> GAMMA* X
#: keyword observables: DSIG/DPT
#: keyword phrases: Inclusive | Single Differential Cross Section | Transverse Momentum Dependence | Proton-Proton Scattering | Z Production | Muon production | Electron production
#: keyword cmenergies: 7000.0
#: ABS(YRAP(Z)),,,0.0-1.0
#: Level,,,Born
#: RE,,,P P --> (Z0 + GAMMA*) < E+ E- + MU+ MU- > X
#: SQRT(S) [GeV],,,7000.0
PT(Z) [GEV],PT(Z) [GEV] LOW,PT(Z) [GEV] HIGH,(1/SIG(FID))*D(SIG(FID))/DPT(Z) [1/GEV],stat +,stat -,"sys,uncor +","sys,uncor -","sys,cor +","sys,cor -"
PT(Z) [GEV],PT(Z) [GEV] LOW,PT(Z) [GEV] HIGH,(1/SIG(FID))*D(SIG(FID))/DPT(Z) [1/GEV],stat +,stat -,"sys,uncor +","sys,uncor -","sys,cor +","sys,cor -"
1.0,0.0,2.0,0.0271,1.3%,-1.3%,1.0%,-1.0%,0.5%,-0.5%
3.0,2.0,4.0,0.0568,0.8%,-0.8%,0.7%,-0.7%,0.4%,-0.4%
5.0,4.0,6.0,0.0564,0.8%,-0.8%,0.5%,-0.5%,0.5%,-0.5%
7.0,6.0,8.0,0.0471,0.8%,-0.8%,0.6%,-0.6%,0.5%,-0.5%
9.0,8.0,10.0,0.0395,0.9%,-0.9%,0.6%,-0.6%,0.4%,-0.4%
11.0,10.0,12.0,0.0322,1.0%,-1.0%,0.7%,-0.7%,0.4%,-0.4%
13.0,12.0,14.0,0.0266,1.1%,-1.1%,0.7%,-0.7%,0.4%,-0.4%
15.0,14.0,16.0,0.0227,1.3%,-1.3%,0.7%,-0.7%,0.5%,-0.5%
17.0,16.0,18.0,0.0199,1.4%,-1.4%,0.8%,-0.8%,0.5%,-0.5%
20.0,18.0,22.0,0.016,1.2%,-1.2%,0.6%,-0.6%,0.5%,-0.5%
24.0,22.0,26.0,0.0123,1.4%,-1.4%,0.8%,-0.8%,0.6%,-0.6%
28.0,26.0,30.0,0.00968,1.7%,-1.7%,0.8%,-0.8%,0.6%,-0.6%
32.0,30.0,34.0,0.00782,1.8%,-1.8%,0.9%,-0.9%,0.5%,-0.5%
36.0,34.0,38.0,0.00634,2.0%,-2.0%,1.0%,-1.0%,0.5%,-0.5%
40.0,38.0,42.0,0.00509,2.2%,-2.2%,1.2%,-1.2%,0.4%,-0.4%
44.0,42.0,46.0,0.00438,2.4%,-2.4%,1.2%,-1.2%,0.4%,-0.4%
48.0,46.0,50.0,0.00357,2.6%,-2.6%,1.4%,-1.4%,0.4%,-0.4%
52.0,50.0,54.0,0.003,2.9%,-2.9%,1.5%,-1.5%,0.6%,-0.6%
57.0,54.0,60.0,0.00266,2.7%,-2.7%,1.3%,-1.3%,0.4%,-0.4%
65.0,60.0,70.0,0.00182,2.5%,-2.5%,1.3%,-1.3%,0.4%,-0.4%
75.0,70.0,80.0,0.00114,3.3%,-3.3%,1.6%,-1.6%,0.7%,-0.7%
90.0,80.0,100.0,0.000596,3.1%,-3.1%,1.4%,-1.4%,0.8%,-0.8%
125.0,100.0,150.0,0.000198,3.3%,-3.3%,1.5%,-1.5%,2.1%,-2.1%
175.0,150.0,200.0,5.08e-05,6.7%,-6.7%,2.8%,-2.8%,2.2%,-2.2%
250.0,200.0,300.0,9.09e-06,10.9%,-10.9%,4.4%,-4.4%,0.8%,-0.8%
550.0,300.0,800.0,1.47e-07,34.0%,-34.0%,15.8%,-15.8%,0.9%,-0.9%

#: ABS(YRAP(Z)),,,
#: Level,,,Dressed
#: RE,,,P P --> (Z0 + GAMMA*) < E+ E- + MU+ MU- > X
#: SQRT(S) [GeV],,,7000.0
PT(Z) [GEV],PT(Z) [GEV] LOW,PT(Z) [GEV] HIGH,(1/SIG(FID))*D(SIG(FID))/DPT(Z) [1/GEV],stat +,stat -,"sys,uncor +","sys,uncor -","sys,cor +","sys,cor -"
1.0,0.0,2.0,0.0263,1.3%,-1.3%,1.0%,-1.0%,0.5%,-0.5%
3.0,2.0,4.0,0.0553,0.8%,-0.8%,0.7%,-0.7%,0.4%,-0.4%
5.0,4.0,6.0,0.0556,0.8%,-0.8%,0.5%,-0.5%,0.5%,-0.5%
7.0,6.0,8.0,0.047,0.8%,-0.8%,0.6%,-0.6%,0.5%,-0.5%
9.0,8.0,10.0,0.0397,0.9%,-0.9%,0.6%,-0.6%,0.4%,-0.4%
11.0,10.0,12.0,0.0327,1.0%,-1.0%,0.7%,-0.7%,0.4%,-0.4%
